firstname,surname,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_month,age,age_get_prize
Albert,Claude,BE,BE,male,1974,medicine,3,Université Catholique de Louvain,Louvain,Belgium,Aug,85,76
Christian,de Duve,GB,BE,male,1974,medicine,3,Rockefeller University,New York NY,USA,Oct,96,57
George E.,Palade,RO,US,male,1974,medicine,3,Yale University School of Medicine,New Haven CT,USA,Nov,96,62
Seán,MacBride,FR,IE,male,1974,peace,2,,,,Jan,84,70
Eisaku,Sato,JP,JP,male,1974,peace,2,,,,Mar,74,73
Eyvind,Johnson,SE,SE,male,1974,literature,2,,,,Jul,76,74
Harry,Martinson,SE,SE,male,1974,literature,2,,,,May,74,70
Gunnar,Myrdal,SE,SE,male,1974,economics,2,,,,Dec,89,76
Friedrich,von Hayek,AT,DE,male,1974,economics,2,,,,May,93,75
Aage N.,Bohr,DK,DK,male,1975,physics,3,Niels Bohr Institute,Copenhagen,Denmark,Jun,87,53
Ben R.,Mottelson,US,,male,1975,physics,3,Nordita,Copenhagen,Denmark,Jul,94,49
James,Rainwater,US,US,male,1975,physics,3,Columbia University,New York NY,USA,Dec,69,58
John,Cornforth,AU,,male,1975,chemistry,2,University of Sussex,Brighton,United Kingdom,Sep,96,58
Vladimir,Prelog,BA,CH,male,1975,chemistry,2,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,Jul,92,69
David,Baltimore,US,,male,1975,medicine,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Mar,82,37
Renato,Dulbecco,IT,US,male,1975,medicine,3,Imperial Cancer Research Fund Laboratory,London,United Kingdom,Feb,98,61
Howard M.,Temin,US,US,male,1975,medicine,3,University of Wisconsin,Madison WI,USA,Dec,60,41
Andrei,Sakharov,RU,RU,male,1975,peace,1,,,,May,68,54
Eugenio,Montale,IT,IT,male,1975,literature,1,,,,Oct,85,79
Leonid Vitaliyevich,Kantorovich,RU,RU,male,1975,economics,2,Academy of Sciences,Moscow,USSR (now Russia),Jan,74,63
Tjalling C.,Koopmans,NL,US,male,1975,economics,2,Yale University,New Haven CT,USA,Aug,75,65
Burton,Richter,US,US,male,1976,physics,2,Stanford Linear Accelerator Center,Stanford CA,USA,Mar,87,45
Samuel C.C.,Ting,US,,male,1976,physics,2,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Jan,84,40
William,Lipscomb,US,US,male,1976,chemistry,1,Harvard University,Cambridge MA,USA,Dec,92,57
Baruch S.,Blumberg,US,US,male,1976,medicine,2,The Institute for Cancer Research,Philadelphia PA,USA,Jul,86,51
D. Carleton,Gajdusek,US,NO,male,1976,medicine,2,National Institutes of Health,Bethesda MD,USA,Sep,85,53
Betty,Williams,GB,GB,female,1976,peace,2,,,,May,77,33
Mairead,Corrigan,GB,,female,1976,peace,2,,,,Jan,76,32
Saul,Bellow,CA,US,male,1976,literature,1,,,,Jun,90,61
Milton,Friedman,US,US,male,1976,economics,1,University of Chicago,Chicago IL,USA,Jul,94,64
Philip W.,Anderson,US,US,male,1977,physics,3,Bell Telephone Laboratories,Murray Hill NJ,USA,Dec,97,54
Sir Nevill F.,Mott,GB,GB,male,1977,physics,3,University of Cambridge,Cambridge,United Kingdom,Sep,91,72
John H.,van Vleck,US,US,male,1977,physics,3,Harvard University,Cambridge MA,USA,Mar,81,78
Ilya,Prigogine,RU,BE,male,1977,chemistry,1,Université Libre de Bruxelles,Brussels,Belgium,Jan,86,60
Roger,Guillemin,FR,,male,1977,medicine,4,The Salk Institute,San Diego CA,USA,Jan,96,53
Andrew V.,Schally,LT,,male,1977,medicine,4,Veterans Administration Hospital,New Orleans LA,USA,Nov,94,51
Rosalyn,Yalow,US,US,female,1977,medicine,2,Veterans Administration Hospital,Bronx NY,USA,Jul,90,56
Vicente,Aleixandre,ES,ES,male,1977,literature,1,,,,Apr,86,79
Bertil,Ohlin,SE,SE,male,1977,economics,2,Stockholm School of Economics,Stockholm,Sweden,Apr,80,78
James E.,Meade,GB,GB,male,1977,economics,2,University of Cambridge,Cambridge,United Kingdom,Jun,88,70
Pyotr,Kapitsa,RU,RU,male,1978,physics,2,Academy of Sciences,Moscow,USSR (now Russia),Jul,90,84
Arno,Penzias,DE,,male,1978,physics,4,Bell Laboratories,Holmdel NJ,USA,Apr,87,45
Robert Woodrow,Wilson,US,,male,1978,physics,4,Bell Laboratories,Holmdel NJ,USA,Jan,84,42
Peter,Mitchell,GB,GB,male,1978,chemistry,1,Glynn Research Laboratories,Bodmin,United Kingdom,Sep,72,58
Werner,Arber,CH,,male,1978,medicine,3,Biozentrum der Universität,Basel,Switzerland,Jun,91,49
Daniel,Nathans,US,US,male,1978,medicine,3,Johns Hopkins University School of Medicine,Baltimore MD,USA,Oct,71,50
Hamilton O.,Smith,US,,male,1978,medicine,3,Johns Hopkins University School of Medicine,Baltimore MD,USA,Aug,89,47
Anwar,al-Sadat,EG,EG,male,1978,peace,2,,,,Dec,63,60
Menachem,Begin,BY,IL,male,1978,peace,2,,,,Aug,79,65
Isaac Bashevis,Singer,PL,US,male,1978,literature,1,,,,Jul,87,74
Herbert,Simon,US,US,male,1978,economics,1,Carnegie Mellon University,Pittsburgh PA,USA,Jun,85,62
Sheldon,Glashow,US,,male,1979,physics,3,Harvard University Lyman Laboratory,Cambridge MA,USA,Dec,88,47
Abdus,Salam,PK,GB,male,1979,physics,3,International Centre for Theoretical Physics,Trieste,Italy,Jan,70,53
Steven,Weinberg,US,,male,1979,physics,3,Harvard University,Cambridge MA,USA,May,87,46
Herbert C.,Brown,GB,US,male,1979,chemistry,2,Purdue University,West Lafayette IN,USA,May,92,67
Georg,Wittig,DE,DE,male,1979,chemistry,2,University of Heidelberg,Heidelberg,Germany,Jun,90,82
Allan M.,Cormack,ZA,US,male,1979,medicine,2,Tufts University,Medford MA,USA,Feb,74,55
Godfrey N.,Hounsfield,GB,GB,male,1979,medicine,2,Central Research Laboratories EMI,London,United Kingdom,Aug,85,60
Anjezë Gonxhe,Bojaxhiu,MK,IN,female,1979,peace,1,,,,Aug,87,69
Odysseus,Elytis,GR,GR,male,1979,literature,1,,,,Nov,85,68
Theodore W.,Schultz,US,US,male,1979,economics,2,University of Chicago,Chicago IL,USA,Apr,96,77
Sir Arthur,Lewis,LC,BB,male,1979,economics,2,Princeton University,Princeton NJ,USA,Jan,76,64
James,Cronin,US,US,male,1980,physics,2,University of Chicago,Chicago IL,USA,Sep,85,49
Val,Fitch,US,US,male,1980,physics,2,Princeton University,Princeton NJ,USA,Mar,92,57
Frederick,Sanger,GB,GB,male,1980,chemistry,4,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Aug,95,62
Paul,Berg,US,,male,1980,chemistry,2,Stanford University,Stanford CA,USA,Jun,94,54
Walter,Gilbert,US,,male,1980,chemistry,4,Harvard University Biological Laboratories,Cambridge MA,USA,Mar,88,48
Baruj,Benacerraf,VE,US,male,1980,medicine,3,Harvard Medical School,Boston MA,USA,Oct,91,60
Jean,Dausset,FR,ES,male,1980,medicine,3,Université de Paris Laboratoire Immuno-Hématologie,Paris,France,Oct,93,64
George D.,Snell,US,US,male,1980,medicine,3,Jackson Laboratory,Bar Harbor ME,USA,Dec,93,77
Adolfo,Pérez Esquivel,AR,,male,1980,peace,1,,,,Nov,89,49
Czeslaw,Milosz,LT,PL,male,1980,literature,1,,,,Jun,93,69
Lawrence R.,Klein,US,US,male,1980,economics,1,University of Pennsylvania,Philadelphia PA,USA,Sep,93,60
Nicolaas,Bloembergen,NL,US,male,1981,physics,4,Harvard University,Cambridge MA,USA,Mar,97,61
Arthur L.,Schawlow,US,US,male,1981,physics,4,Stanford University,Stanford CA,USA,May,78,60
Kai M.,Siegbahn,SE,SE,male,1981,physics,2,Uppsala University,Uppsala,Sweden,Apr,89,63
Kenichi,Fukui,JP,JP,male,1981,chemistry,2,Kyoto University,Kyoto,Japan,Oct,80,63
Roald,Hoffmann,UA,,male,1981,chemistry,2,Cornell University,Ithaca NY,USA,Jul,83,44
Roger W.,Sperry,US,US,male,1981,medicine,2,California Institute of Technology (Caltech),Pasadena CA,USA,Aug,81,68
David H.,Hubel,CA,US,male,1981,medicine,4,Harvard Medical School,Boston MA,USA,Feb,87,55
Torsten N.,Wiesel,SE,,male,1981,medicine,4,Harvard Medical School,Boston MA,USA,Jun,96,57
Elias,Canetti,BG,CH,male,1981,literature,1,,,,Jul,89,76
James,Tobin,US,US,male,1981,economics,1,Yale University,New Haven CT,USA,Mar,84,63
Kenneth G.,Wilson,US,US,male,1982,physics,1,Cornell University,Ithaca NY,USA,Jun,77,46
Aaron,Klug,LT,,male,1982,chemistry,1,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Aug,92,56
Sune K.,Bergström,SE,SE,male,1982,medicine,3,Karolinska Institutet,Stockholm,Sweden,Jan,88,66
Bengt I.,Samuelsson,SE,,male,1982,medicine,3,Karolinska Institutet,Stockholm,Sweden,May,86,48
John R.,Vane,GB,GB,male,1982,medicine,3,The Wellcome Research Laboratories,Beckenham,United Kingdom,Mar,77,55
Alva,Myrdal,SE,SE,female,1982,peace,2,,,,Jan,84,80
Alfonso,García Robles,MX,MX,male,1982,peace,2,,,,Mar,80,71
Gabriel,García Márquez,CO,MX,male,1982,literature,1,,,,Mar,87,55
George J.,Stigler,US,US,male,1982,economics,1,University of Chicago,Chicago IL,USA,Jan,80,71
Subramanyan,Chandrasekhar,PK,US,male,1983,physics,2,University of Chicago,Chicago IL,USA,Oct,85,73
William A.,Fowler,US,US,male,1983,physics,2,California Institute of Technology (Caltech),Pasadena CA,USA,Aug,84,72
Henry,Taube,CA,US,male,1983,chemistry,1,Stanford University,Stanford CA,USA,Nov,90,68
Barbara,McClintock,US,US,female,1983,medicine,1,Cold Spring Harbor Laboratory,Cold Spring Harbor NY,USA,Jun,90,81
Lech,Walesa,PL,,male,1983,peace,1,,,,Sep,77,40
William,Golding,GB,GB,male,1983,literature,1,,,,Sep,82,72
Gerard,Debreu,FR,FR,male,1983,economics,1,University of California,Berkeley CA,USA,Jul,83,62
Carlo,Rubbia,IT,,male,1984,physics,2,CERN,Geneva,Switzerland,Mar,86,50
Simon,van der Meer,NL,CH,male,1984,physics,2,CERN,Geneva,Switzerland,Nov,86,59
Bruce,Merrifield,US,US,male,1984,chemistry,1,Rockefeller University,New York NY,USA,Jul,85,63
Niels K.,Jerne,GB,FR,male,1984,medicine,3,Basel Institute for Immunology,Basel,Switzerland,Dec,83,73
Georges J.F.,Köhler,DE,DE,male,1984,medicine,3,Basel Institute for Immunology,Basel,Switzerland,Apr,49,38
César,Milstein,AR,GB,male,1984,medicine,3,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Oct,75,57
Desmond,Tutu,ZA,,male,1984,peace,1,,,,Oct,89,53
Jaroslav,Seifert,CZ,CZ,male,1984,literature,1,,,,Sep,85,83
Richard,Stone,GB,GB,male,1984,economics,1,University of Cambridge,Cambridge,United Kingdom,Aug,78,71
Klaus,von Klitzing,PL,,male,1985,physics,1,Max-Planck-Institut für Festkörperforschung,Stuttgart,Germany,Jun,77,42
Herbert A.,Hauptman,US,US,male,1985,chemistry,2,The Medical Foundation of Buffalo,Buffalo NY,USA,Feb,94,68
Jerome,Karle,US,,male,1985,chemistry,2,US Naval Research Laboratory,Washington DC,USA,Jun,95,67
Michael S.,Brown,US,,male,1985,medicine,2,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,Apr,79,44
Joseph L.,Goldstein,US,,male,1985,medicine,2,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,Apr,80,45
Claude,Simon,MG,FR,male,1985,literature,1,,,,Oct,92,72
Franco,Modigliani,IT,US,male,1985,economics,1,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Jun,85,67
Ernst,Ruska,DE,DE,male,1986,physics,2,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,Dec,82,80
Gerd,Binnig,DE,,male,1986,physics,4,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,Jul,73,39
Heinrich,Rohrer,CH,CH,male,1986,physics,4,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,Jun,80,53
Dudley R.,Herschbach,US,,male,1986,chemistry,3,Harvard University,Cambridge MA,USA,Jun,88,54
Yuan T.,Lee,TW,,male,1986,chemistry,3,University of California,Berkeley CA,USA,Nov,84,50
John C.,Polanyi,DE,,male,1986,chemistry,3,University of Toronto,Toronto,Canada,Jan,91,57
Stanley,Cohen,US,US,male,1986,medicine,2,Vanderbilt University School of Medicine,Nashville TN,USA,Nov,98,64
Rita,Levi-Montalcini,IT,IT,female,1986,medicine,2,Institute of Cell Biology of the C.N.R.,Rome,Italy,Apr,103,77
Elie,Wiesel,RO,US,male,1986,peace,1,,,,Sep,88,58
Wole,Soyinka,NG,,male,1986,literature,1,,,,Jul,86,52
James M.,Buchanan Jr.,US,US,male,1986,economics,1,Center for Study of Public Choice,Fairfax VA,USA,Oct,94,67
J. Georg,Bednorz,DE,,male,1987,physics,2,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,May,70,37
K. Alex,Müller,CH,,male,1987,physics,2,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,Apr,93,60
Donald J.,Cram,US,US,male,1987,chemistry,3,University of California,Los Angeles CA,USA,Apr,82,68
Jean-Marie,Lehn,FR,,male,1987,chemistry,3,Université Louis Pasteur,Strasbourg,France,Sep,81,48
Charles J.,Pedersen,KR,US,male,1987,chemistry,3,Du Pont,Wilmington DE,USA,Oct,85,83
Susumu,Tonegawa,JP,,male,1987,medicine,1,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Sep,81,48
Oscar,Arias Sánchez,CR,,male,1987,peace,1,,,,Sep,80,47
Joseph,Brodsky,RU,US,male,1987,literature,1,,,,May,56,47
Robert M.,Solow,US,,male,1987,economics,1,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Aug,96,63
Leon M.,Lederman,US,US,male,1988,physics,3,Fermi National Accelerator Laboratory,Batavia IL,USA,Jul,96,66
Melvin,Schwartz,US,US,male,1988,physics,3,Digital Pathways Inc.,Mountain View CA,USA,Nov,74,56
Jack,Steinberger,DE,,male,1988,physics,3,CERN,Geneva,Switzerland,May,99,67
Johann,Deisenhofer,DE,,male,1988,chemistry,3,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,Sep,77,45
Robert,Huber,DE,,male,1988,chemistry,3,Max-Planck-Institut für Biochemie,Martinsried,Germany,Feb,83,51
Hartmut,Michel,DE,,male,1988,chemistry,3,Max-Planck-Institut für Biophysik,Frankfurt-on-the-Main,Germany,Jul,72,40
Sir James W.,Black,GB,,male,1988,medicine,3,London University King's College Hospital Medical School,London,United Kingdom,Jun,86,64
Gertrude B.,Elion,US,US,female,1988,medicine,3,Wellcome Research Laboratories,Research Triangle Park NC,USA,Jan,81,70
George H.,Hitchings,US,US,male,1988,medicine,3,Wellcome Research Laboratories,Research Triangle Park NC,USA,Apr,93,83
Naguib,Mahfouz,EG,EG,male,1988,literature,1,,,,Dec,95,77
Maurice,Allais,FR,FR,male,1988,economics,1,École Nationale Supérieur des Mines de Paris,Paris,France,May,99,77
Norman F.,Ramsey,US,US,male,1989,physics,2,Harvard University,Cambridge MA,USA,Aug,96,74
Hans G.,Dehmelt,DE,US,male,1989,physics,4,University of Washington,Seattle WA,USA,Sep,95,67
Wolfgang,Paul,DE,DE,male,1989,physics,4,University of Bonn,Bonn,Germany,Aug,80,76
Sidney,Altman,CA,,male,1989,chemistry,2,Yale University,New Haven CT,USA,May,81,50
Thomas R.,Cech,US,,male,1989,chemistry,2,University of Colorado,Boulder CO,USA,Dec,73,42
J. Michael,Bishop,US,,male,1989,medicine,2,University of California School of Medicine,San Francisco CA,USA,Feb,84,53
Harold E.,Varmus,US,,male,1989,medicine,2,University of California School of Medicine,San Francisco CA,USA,Dec,81,50
Lhamo,Thondup,CN,,male,1989,peace,1,,,,Jul,85,54
Camilo José,Cela,ES,ES,male,1989,literature,1,,,,May,86,73
Trygve,Haavelmo,NO,NO,male,1989,economics,1,University of Oslo,Oslo,Norway,Dec,88,78
Jerome I.,Friedman,US,,male,1990,physics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Mar,90,60
Henry W.,Kendall,US,US,male,1990,physics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Dec,73,64
Richard E.,Taylor,CA,US,male,1990,physics,3,Stanford University,Stanford CA,USA,Nov,89,61
Elias James,Corey,US,,male,1990,chemistry,1,Harvard University,Cambridge MA,USA,Jul,92,62
Joseph E.,Murray,US,US,male,1990,medicine,2,Brigham and Women's Hospital,Boston MA,USA,Apr,93,71
E. Donnall,Thomas,US,US,male,1990,medicine,2,Fred Hutchinson Cancer Research Center,Seattle WA,USA,Mar,92,70
Mikhail,Gorbachev,RU,,male,1990,peace,1,,,,Mar,89,59
Octavio,Paz,MX,MX,male,1990,literature,1,,,,Mar,84,76
Harry M.,Markowitz,US,,male,1990,economics,3,City University of New York,New York NY,USA,Aug,93,63
Merton H.,Miller,US,US,male,1990,economics,3,University of Chicago,Chicago IL,USA,May,77,67
William F.,Sharpe,US,,male,1990,economics,3,Stanford University,Stanford CA,USA,Jun,86,56
Pierre-Gilles,de Gennes,FR,FR,male,1991,physics,1,Collège de France,Paris,France,Oct,75,59
Richard R.,Ernst,CH,,male,1991,chemistry,1,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,Aug,87,58
Erwin,Neher,DE,,male,1991,medicine,2,Max-Planck-Institut für Biophysikalische Chemie,Göttingen,Germany,Mar,76,47
Bert,Sakmann,DE,,male,1991,medicine,2,Max-Planck-Institut für medizinische Forschung,Heidelberg,Germany,Jun,78,49
Aung San Suu Kyi,,MM,,female,1991,peace,1,,,,Jun,75,46
Nadine,Gordimer,ZA,ZA,female,1991,literature,1,,,,Nov,91,68
Ronald H.,Coase,GB,US,male,1991,economics,1,University of Chicago,Chicago IL,USA,Dec,103,81
Georges,Charpak,PL,FR,male,1992,physics,1,École Supérieure de Physique et Chimie,Paris,France,Aug,86,68
Rudolph A.,Marcus,CA,,male,1992,chemistry,1,California Institute of Technology (Caltech),Pasadena CA,USA,Jul,97,69
Edmond H.,Fischer,CN,,male,1992,medicine,2,University of Washington,Seattle WA,USA,Apr,100,72
Edwin G.,Krebs,US,US,male,1992,medicine,2,University of Washington,Seattle WA,USA,Jun,91,74
Rigoberta,Menchú Tum,GT,,female,1992,peace,1,,,,Jan,61,33
Derek,Walcott,LC,LC,male,1992,literature,1,,,,Jan,87,62
Gary,Becker,US,US,male,1992,economics,1,University of Chicago,Chicago IL,USA,Dec,84,62
Russell A.,Hulse,US,,male,1993,physics,2,Princeton University,Princeton NJ,USA,Nov,70,43
Joseph H.,Taylor Jr.,US,,male,1993,physics,2,Princeton University,Princeton NJ,USA,Mar,79,52
Kary B.,Mullis,US,US,male,1993,chemistry,2,,,,Dec,75,49
Michael,Smith,GB,CA,male,1993,chemistry,2,University of British Columbia,Vancouver,Canada,Apr,68,61
Richard J.,Roberts,GB,,male,1993,medicine,2,New England Biolabs,Beverly MA,USA,Sep,77,50
Phillip A.,Sharp,US,,male,1993,medicine,2,Massachusetts Institute of Technology (MIT) Center for Cancer Research,Cambridge MA,USA,Jun,76,49
Nelson,Mandela,ZA,ZA,male,1993,peace,2,,,,Jul,95,75
F.W.,de Klerk,ZA,,male,1993,peace,2,,,,Mar,84,57
Toni,Morrison,US,US,female,1993,literature,1,,,,Feb,88,62
Robert W.,Fogel,US,US,male,1993,economics,2,University of Chicago,Chicago IL,USA,Jul,86,66
Douglass C.,North,US,US,male,1993,economics,2,Washington University,St. Louis MO,USA,Nov,95,73
Bertram N.,Brockhouse,CA,CA,male,1994,physics,2,McMaster University,Hamilton Ontario,Canada,Jul,85,76
Clifford G.,Shull,US,US,male,1994,physics,2,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Sep,86,79
George A.,Olah,HU,US,male,1994,chemistry,1,University of Southern California,Los Angeles CA,USA,May,90,67
Alfred G.,Gilman,US,US,male,1994,medicine,2,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,Jul,74,53
Martin,Rodbell,US,US,male,1994,medicine,2,National Institute of Environmental Health Sciences,Research Triangle Park NC,USA,Dec,73,69
Yasser,Arafat,EG,FR,male,1994,peace,3,,,,Aug,75,65
Shimon,Peres,BY,IL,male,1994,peace,3,,,,Aug,93,71
Yitzhak,Rabin,IL,IL,male,1994,peace,3,,,,Mar,73,72
Kenzaburo,Oe,JP,,male,1994,literature,1,,,,Jan,85,59
John C.,Harsanyi,HU,US,male,1994,economics,3,University of California,Berkeley CA,USA,May,80,74
John F.,Nash Jr.,US,US,male,1994,economics,3,Princeton University,Princeton NJ,USA,Jun,87,66
Reinhard,Selten,PL,PL,male,1994,economics,3,Rheinische Friedrich-Wilhelms-Universität,Bonn,Germany,Oct,86,64
Martin L.,Perl,US,US,male,1995,physics,2,Stanford University,Stanford CA,USA,Jun,87,68
Frederick,Reines,US,US,male,1995,physics,2,University of California,Irvine CA,USA,Mar,80,77
Paul J.,Crutzen,NL,,male,1995,chemistry,3,Max-Planck-Institut für Chemie,Mainz,Germany,Dec,87,62
Mario J.,Molina,MX,,male,1995,chemistry,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Mar,77,52
F. Sherwood,Rowland,US,US,male,1995,chemistry,3,University of California,Irvine CA,USA,Jun,85,68
Edward B.,Lewis,US,US,male,1995,medicine,3,California Institute of Technology (Caltech),Pasadena CA,USA,May,86,77
Christiane,Nüsslein-Volhard,DE,,female,1995,medicine,3,Max-Planck-Institut für Entwicklungsbiologie,Tübingen,Germany,Oct,78,53
Eric F.,Wieschaus,US,,male,1995,medicine,3,Princeton University,Princeton NJ,USA,Jun,73,48
Joseph,Rotblat,PL,GB,male,1995,peace,2,,,,Nov,97,87
Seamus,Heaney,GB,IE,male,1995,literature,1,,,,Apr,74,56
Robert E.,Lucas Jr.,US,,male,1995,economics,1,University of Chicago,Chicago IL,USA,Sep,83,58
David M.,Lee,US,,male,1996,physics,3,Cornell University,Ithaca NY,USA,Jan,89,65
Douglas D.,Osheroff,US,,male,1996,physics,3,Stanford University,Stanford CA,USA,Aug,75,51
Robert C.,Richardson,US,US,male,1996,physics,3,Cornell University,Ithaca NY,USA,Jun,76,59
Robert F.,Curl Jr.,US,,male,1996,chemistry,3,Rice University,Houston TX,USA,Aug,87,63
Sir Harold,Kroto,GB,GB,male,1996,chemistry,3,University of Sussex,Brighton,United Kingdom,Oct,77,57
Richard E.,Smalley,US,US,male,1996,chemistry,3,Rice University,Houston TX,USA,Jun,62,53
Peter C.,Doherty,AU,,male,1996,medicine,2,St. Jude Children's Research Hospital,Memphis TN,USA,Oct,80,56
Rolf M.,Zinkernagel,CH,,male,1996,medicine,2,University of Zurich Institute of Experimental Immunology,Zurich,Switzerland,Jan,76,52
Carlos Filipe Ximenes,Belo,TL,,male,1996,peace,2,,,,Feb,72,48
José,Ramos-Horta,TL,,male,1996,peace,2,,,,Dec,71,47
Wislawa,Szymborska,PL,PL,female,1996,literature,1,,,,Jul,89,73
James A.,Mirrlees,GB,GB,male,1996,economics,2,University of Cambridge,Cambridge,United Kingdom,Jul,82,60
William,Vickrey,CA,US,male,1996,economics,2,Columbia University,New York NY,USA,Jun,82,82
Steven,Chu,US,,male,1997,physics,3,Stanford University,Stanford CA,USA,Feb,72,49
Claude,Cohen-Tannoudji,DZ,,male,1997,physics,3,Collège de France,Paris,France,Apr,87,64
William D.,Phillips,US,,male,1997,physics,3,National Institute of Standards and Technology,Gaithersburg MD,USA,Nov,72,49
Paul D.,Boyer,US,US,male,1997,chemistry,4,University of California,Los Angeles CA,USA,Jul,100,79
John E.,Walker,GB,,male,1997,chemistry,4,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Jan,79,56
Jens C.,Skou,DK,DK,male,1997,chemistry,2,Aarhus University,Aarhus,Denmark,Oct,100,79
Stanley B.,Prusiner,US,,male,1997,medicine,1,University of California School of Medicine,San Francisco CA,USA,May,78,55
Jody,Williams,US,,female,1997,peace,2,,,,Oct,70,47
Dario,Fo,IT,IT,male,1997,literature,1,,,,Mar,90,71
Robert C.,Merton,US,,male,1997,economics,2,Harvard University,Cambridge MA,USA,Jul,76,53
Myron,Scholes,CA,,male,1997,economics,2,Long Term Capital Management,Greenwich CT,USA,Jul,79,56
Robert B.,Laughlin,US,,male,1998,physics,3,Stanford University,Stanford CA,USA,Nov,70,48
Horst L.,Störmer,DE,,male,1998,physics,3,Columbia University,New York NY,USA,Apr,71,49
Daniel C.,Tsui,CN,,male,1998,physics,3,Princeton University,Princeton NJ,USA,Feb,81,59
Walter,Kohn,AT,US,male,1998,chemistry,2,University of California,Santa Barbara CA,USA,Mar,93,75
John,Pople,GB,US,male,1998,chemistry,2,Northwestern University,Evanston IL,USA,Oct,79,73
Robert F.,Furchgott,US,US,male,1998,medicine,3,SUNY Health Science Center,Brooklyn NY,USA,Jun,93,82
Louis J.,Ignarro,US,,male,1998,medicine,3,University of California School of Medicine,Los Angeles CA,USA,May,79,57
Ferid,Murad,US,,male,1998,medicine,3,University of Texas Medical School at Houston,Houston TX,USA,Sep,84,62
John,Hume,GB,,male,1998,peace,2,,,,Jan,83,61
David,Trimble,GB,,male,1998,peace,2,,,,Oct,76,54
José,Saramago,PT,ES,male,1998,literature,1,,,,Nov,88,76
Amartya,Sen,IN,,male,1998,economics,1,Trinity College,Cambridge,United Kingdom,Nov,87,65
Gerardus,'t Hooft,NL,,male,1999,physics,2,Utrecht University,Utrecht,the Netherlands,Jul,74,53
Martinus J.G.,Veltman,NL,,male,1999,physics,2,,,,Jun,89,68
Ahmed,Zewail,EG,US,male,1999,chemistry,1,California Institute of Technology (Caltech),Pasadena CA,USA,Feb,70,53
Günter,Blobel,PL,US,male,1999,medicine,1,Rockefeller University,New York NY,USA,May,82,63
Günter,Grass,PL,DE,male,1999,literature,1,,,,Oct,88,72
Robert,Mundell,CA,,male,1999,economics,1,Columbia University,New York NY,USA,Oct,88,67
Arvid,Carlsson,SE,SE,male,2000,medicine,3,Göteborg University,Gothenburg,Sweden,Jan,95,77
Paul,Greengard,US,US,male,2000,medicine,3,Rockefeller University,New York NY,USA,Dec,94,75
Eric,Kandel,AT,,male,2000,medicine,3,Columbia University,New York NY,USA,Nov,91,71
Kim,Dae-jung,KR,,male,2000,peace,1,,,,Dec,84,75
Zhores,Alferov,BY,RU,male,2000,physics,4,A.F. Ioffe Physico-Technical Institute,St. Petersburg,Russia,Mar,89,70
Herbert,Kroemer,DE,,male,2000,physics,4,University of California,Santa Barbara CA,USA,Aug,92,72
Jack,Kilby,US,US,male,2000,physics,2,Texas Instruments,Dallas TX,USA,Nov,82,77
Alan,Heeger,US,,male,2000,chemistry,3,University of California,Santa Barbara CA,USA,Jan,84,64
Alan,MacDiarmid,NZ,US,male,2000,chemistry,3,University of Pennsylvania,Philadelphia PA,USA,Apr,80,73
Hideki,Shirakawa,JP,,male,2000,chemistry,3,University of Tsukuba,Tokyo,Japan,Aug,84,64
James J.,Heckman,US,,male,2000,economics,2,University of Chicago,Chicago IL,USA,Apr,76,56
Daniel L.,McFadden,US,,male,2000,economics,2,University of California,Berkeley CA,USA,Jul,83,63
Xingjian,Gao,CN,,male,2000,literature,1,,,,Jan,80,60
Leland,Hartwell,US,,male,2001,medicine,3,Fred Hutchinson Cancer Research Center,Seattle WA,USA,Oct,81,62
Tim,Hunt,GB,,male,2001,medicine,3,Imperial Cancer Research Fund,London,United Kingdom,Feb,77,58
Sir Paul,Nurse,GB,,male,2001,medicine,3,Imperial Cancer Research Fund,London,United Kingdom,Jan,71,52
