firstname,surname,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_month,age,age_get_prize
John C.,Mather,US,,male,2006,physics,2,NASA Goddard Space Flight Center,Greenbelt MD,USA,Aug,74,60
George F.,Smoot,US,,male,2006,physics,2,University of California,Berkeley CA,USA,Feb,75,61
Roger D.,Kornberg,US,,male,2006,chemistry,1,Stanford University,Stanford CA,USA,Apr,73,59
Edmund S.,Phelps,US,,male,2006,economics,1,Columbia University,New York NY,USA,Jul,87,73
Orhan,Pamuk,TR,,male,2006,literature,1,,,,Jun,68,54
Muhammad,Yunus,BD,,male,2006,peace,2,,,,Jun,80,66
Mario R.,Capecchi,IT,,male,2007,medicine,3,University of Utah,Salt Lake City UT,USA,Oct,83,70
Sir Martin J.,Evans,GB,,male,2007,medicine,3,Cardiff University,Cardiff,United Kingdom,Jan,79,66
Oliver,Smithies,GB,US,male,2007,medicine,3,University of North Carolina,Chapel Hill NC,USA,Jun,92,82
Albert,Fert,FR,,male,2007,physics,2,Universit&eacute; Paris-Sud,Orsay,France,Mar,82,69
Peter,Grünberg,CZ,DE,male,2007,physics,2,Forschungszentrum J&uuml;lich,Jülich,Germany,May,79,68
Gerhard,Ertl,DE,,male,2007,chemistry,1,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,Oct,84,71
Doris,Lessing,IR,GB,female,2007,literature,1,,,,Oct,94,88
Al,Gore,US,,male,2007,peace,2,,,,Mar,72,59
Leonid,Hurwicz,RU,US,male,2007,economics,3,University of Minnesota,Minneapolis MN,USA,Aug,91,90
Eric S.,Maskin,US,,male,2007,economics,3,Institute for Advanced Study,Princeton NJ,USA,Dec,70,57
Roger B.,Myerson,US,,male,2007,economics,3,University of Chicago,Chicago IL,USA,Mar,69,56
Harald,zur Hausen,DE,,male,2008,medicine,2,German Cancer Research Center,Heidelberg,Germany,Mar,84,72
Françoise,Barré-Sinoussi,FR,,female,2008,medicine,4,Regulation of Retroviral Infections Unit Virology Department Institut Pasteur,Paris,France,Jul,73,61
Luc,Montagnier,FR,,male,2008,medicine,4,World Foundation for AIDS Research and Prevention,Paris,France,Aug,88,76
Yoichiro,Nambu,JP,JP,male,2008,physics,2,Enrico Fermi Institute University of Chicago,Chicago IL,USA,Jan,94,87
Makoto,Kobayashi,JP,,male,2008,physics,4,High Energy Accelerator Research Organization (KEK),Tsukuba,Japan,Apr,76,64
Toshihide,Maskawa,JP,,male,2008,physics,4,Kyoto Sangyo University,Kyoto,Japan,Feb,80,68
Osamu,Shimomura,JP,JP,male,2008,chemistry,3,Marine Biological Laboratory (MBL),Woods Hole MA,USA,Aug,90,80
Martin,Chalfie,US,,male,2008,chemistry,3,Columbia University,New York NY,USA,Jan,73,61
Roger Y.,Tsien,US,US,male,2008,chemistry,3,University of California,San Diego CA,USA,Feb,64,56
Jean-Marie Gustave,Le Clézio,FR,,male,2008,literature,1,,,,Apr,80,68
Martti,Ahtisaari,FI,,male,2008,peace,1,,,,Jun,83,71
Paul,Krugman,US,,male,2008,economics,1,Princeton University,Princeton NJ,USA,Feb,67,55
Elizabeth H.,Blackburn,AU,,female,2009,medicine,3,University of California,San Francisco CA,USA,Nov,72,61
Carol W.,Greider,US,,female,2009,medicine,3,Johns Hopkins University School of Medicine,Baltimore MD,USA,Apr,59,48
Jack W.,Szostak,GB,,male,2009,medicine,3,Harvard Medical School,Boston MA,USA,Nov,68,57
Charles K.,Kao,CN,,male,2009,physics,2,Standard Telecommunication Laboratories,Harlow,United Kingdom,Nov,85,76
Willard S.,Boyle,CA,CA,male,2009,physics,4,Bell Laboratories,Murray Hill NJ,USA,Aug,87,85
George E.,Smith,US,,male,2009,physics,4,Bell Laboratories,Murray Hill NJ,USA,May,90,79
Venkatraman,Ramakrishnan,IN,,male,2009,chemistry,3,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Apr,68,57
Thomas A.,Steitz,US,US,male,2009,chemistry,3,Yale University,New Haven CT,USA,Aug,78,69
Ada E.,Yonath,IL,,female,2009,chemistry,3,Weizmann Institute of Science,Rehovot,Israel,Jun,81,70
Herta,Müller,RO,,female,2009,literature,1,,,,Aug,67,56
Barack,Obama,US,,male,2009,peace,1,,,,Aug,59,48
Elinor,Ostrom,US,US,female,2009,economics,2,Indiana University,Bloomington IN,USA,Aug,79,76
Oliver E.,Williamson,US,,male,2009,economics,2,University of California,Berkeley CA,USA,Sep,88,77
Robert G.,Edwards,GB,GB,male,2010,medicine,1,University of Cambridge,Cambridge,United Kingdom,Sep,88,85
Andre,Geim,RU,,male,2010,physics,2,University of Manchester,Manchester,United Kingdom,Oct,62,52
Konstantin,Novoselov,RU,,male,2010,physics,2,University of Manchester,Manchester,United Kingdom,Aug,46,36
Richard F.,Heck,US,PH,male,2010,chemistry,3,University of Delaware,,USA,Aug,84,79
Ei-ichi,Negishi,CN,,male,2010,chemistry,3,Purdue University,West Lafayette IN,USA,Jul,85,75
Akira,Suzuki,JP,,male,2010,chemistry,3,Hokkaido University,Sapporo,Japan,Sep,90,80
Mario,Vargas Llosa,PE,,male,2010,literature,1,,,,Mar,84,74
Xiaobo,Liu,CN,CN,male,2010,peace,1,,,,Dec,62,55
Peter A.,Diamond,US,,male,2010,economics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Apr,80,70
Dale T.,Mortensen,US,US,male,2010,economics,3,Northwestern University,Evanston IL,USA,Feb,75,71
Christopher A.,Pissarides,CY,,male,2010,economics,3,London School of Economics and Political Science,London,United Kingdom,Feb,72,62
Bruce A.,Beutler,US,,male,2011,medicine,4,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,Dec,63,54
